from,to,weight,relationship,Konfliktpotenzial,time definition
af,of,5,1,3,5
af,ef,2,1,4,5
af,mf,3,1,3,5
af,hvp,1,2,3,5
af,avp,3,2,3,5
af,pvp,5,3,1,5
af,fp,2,2,3,5
af,vk,1,2,1,5
af,jk,1,2,1,5
af,jv,1,2,1,5
af,bv,1,2,1,5
af,mg,1,2,1,5
af,jg,1,2,1,5
af,k,4,3,NA,5
of,ef,5,1,1,5
of,mf,4,1,2,5
of,hvp,2,2,3,5
of,avp,2,2,3,5
of,pvp,3,3,1,5
of,fp,2,2,3,5
of,vk,3,3,1,5
of,jk,3,3,1,5
of,jv,3,3,1,5
of,bv,3,3,1,5
of,mg,3,3,1,5
of,jg,3,3,1,5
of,k,NA,NA,NA,5
ef,mf,4,1,2,5
ef,hvp,2,2,4,5
ef,avp,2,2,4,5
ef,pvp,1,2,1,5
ef,fp,2,2,3,5
ef,vk,3,3,1,5
ef,jk,3,3,1,5
ef,jv,3,3,1,5
ef,bv,3,3,1,5
ef,mg,3,3,1,5
ef,jg,3,3,1,5
ef,k,NA,NA,NA,5
mf,hvp,1,2,1,5
mf,avp,1,2,1,5
mf,pvp,3,3,1,5
mf,fp,1,2,1,5
mf,vk,1,2,1,5
mf,jk,1,2,1,5
mf,jv,1,2,1,5
mf,bv,1,2,1,5
mf,mg,1,2,1,5
mf,jg,1,2,1,5
mf,k,NA,NA,NA,5
hvp,avp,5,1,4,5
hvp,pvp,2,1,3,5
hvp,fp,2,2,3,5
hvp,vk,3,3,1,5
hvp,jk,3,3,1,5
hvp,jv,3,3,1,5
hvp,bv,3,3,1,5
hvp,mg,3,3,1,5
hvp,jg,3,3,1,5
hvp,k,NA,NA,NA,5
avp,pvp,3,1,3,5
avp,fp,3,3,3,5
avp,vk,3,3,1,5
avp,jk,3,3,1,5
avp,jv,3,3,1,5
avp,bv,3,3,1,5
avp,mg,3,3,1,5
avp,jg,3,3,1,5
avp,k,NA,NA,NA,5
pvp,fp,2,2,3,5
pvp,vk,3,3,1,5
pvp,jk,3,3,1,5
pvp,jv,3,3,1,5
pvp,bv,3,3,1,5
pvp,mg,3,3,1,5
pvp,jg,3,3,1,5
pvp,k,NA,NA,NA,5
fp,vk,3,3,1,5
fp,jk,3,3,1,5
fp,jv,3,3,1,5
fp,bv,3,3,1,5
fp,mg,3,3,1,5
fp,jg,3,3,1,5
fp,k,NA,NA,NA,5
vk,jk,3,3,1,5
vk,jv,3,3,1,5
vk,bv,3,3,1,5
vk,mg,3,3,1,5
vk,jg,3,3,1,5
vk,k,NA,NA,NA,5
jk,jv,3,3,1,5
jk,bv,3,3,1,5
jk,mg,3,3,1,5
jk,jg,3,3,1,5
jk,k,NA,NA,NA,5
jv,bv,3,1,1,5
jv,mg,3,3,1,5
jv,jg,3,3,1,5
jv,k,NA,NA,NA,5
bv,mg,3,3,1,5
bv,jg,3,3,1,5
bv,k,NA,NA,NA,5
mg,jg,5,1,1,5
mg,k,NA,NA,NA,5
jg,k,NA,NA,NA,5